Month,C_BRDF,R_BRDF,I_BRDF,A_BRDF,M_BRDF,N_BRDF,province,m,C_BRDF_R,R_BRDF_R,I_BRDF_R,A_BRDF_R,M_BRDF_R,N_BRDF_R
2017-01-01,24.833135531983245,12.381579036479806,8.236132033945132,18.036454300594546,31.634457288715893,1.2414008393636735,安徽,1,140.67087155078707,96.06825679867906,75.79720009701036,168.9044840257281,153.48263314206525,84.79553494064652
2017-02-01,23.030551214486017,11.491642983871426,7.822443597606621,16.686533399957707,28.92591203412826,1.269473642492422,安徽,2,133.9203241173248,90.74014885247374,72.53540018976406,171.78437344902423,144.31129831115513,85.80035235433058
2017-03-01,23.87061875802977,11.94344280792221,7.879352257222661,17.335629821818156,31.227732862187747,1.213595525469526,安徽,3,137.4451288695691,94.53418254282289,72.9658631919824,174.51600215342228,148.74202872156272,86.67381594493354
2017-04-01,24.296915112982877,12.077706669790585,8.390739911994402,17.737078109115906,33.343080534773634,1.30402755278184,安徽,4,139.62856311547475,96.73317460947104,77.13816905923983,178.1216046971583,152.83308469643956,98.25451869891883
2017-05-01,23.66573037892644,11.656097154738642,7.944923141885015,17.292727382560553,32.415799071967825,1.185377234001722,安徽,5,139.7630204863175,96.0742873950137,75.46858251024693,180.59321771188846,154.54709411156185,89.6336481428577
2017-06-01,21.949856862667115,10.800341058757356,7.813984045538012,16.407343915288862,29.785250803132183,1.275541535839123,安徽,6,133.05160580954137,90.40197363354763,74.08963685677237,172.03768545357875,145.96056067054224,100.00215308036766
2017-07-01,23.50440928237154,11.46857103153906,8.405340491168998,17.349459182113,31.001479026420245,1.2115964607031522,安徽,7,143.90274394339343,98.41405194738026,81.7807760521388,181.96188307344897,154.55667150531443,93.79739036800558
2017-08-01,22.569469738584395,11.081797870922534,7.891955420497571,16.88627793026553,30.01191980956665,1.2228680440940125,安徽,8,141.36118160950772,97.763188111035,78.65525045486577,183.01898944964722,153.47999409725196,99.43229252006067
2017-09-01,22.979539909024663,11.779523477362783,8.046013622588813,17.568348012073454,29.838866732231093,1.46261445042878,安徽,9,137.83936553231507,97.89123245381549,76.81431027387399,180.92698820526928,145.77616600750122,112.10194637306152
2017-10-01,24.02525416218133,12.260390766549891,8.371012371652483,18.248817097765016,32.34177006216693,1.3550148585298485,安徽,10,136.98642260557864,96.48106183516649,75.87098851411636,179.14161486872615,151.98191852458442,100.58435444117262
2017-11-01,24.400907991434828,12.263717916470556,8.34792701372603,18.32439647150012,31.964762720288128,1.2786397471123898,安徽,11,137.2972722860732,96.14134739734645,74.52799404874865,178.64266882122837,148.97474354389865,93.88681118667286
2017-12-01,23.63813924220172,12.092498285503773,8.155894270546836,18.002293395924127,30.865092165076845,1.317438701623332,安徽,12,130.0129369071412,90.84577315542822,69.99557704754938,172.38883051464143,139.17093163277005,85.49348704399091
2018-01-01,14.919380427009886,14.421725439561664,11.24046125499253,22.729385877568426,30.00226595844808,1.6123539679967231,安徽,1,84.51297843408597,111.89768436851608,103.44607000177639,212.8519901910996,145.5636408585936,110.13398162356435
2018-02-01,13.627750029735775,12.640658870527522,9.924829532118498,19.30707616765642,29.46951165281646,1.3091674524097106,安徽,2,79.2439869968969,99.81299185110878,92.03025537284375,198.76231348338968,147.02331536499207,88.48315155802457
2018-03-01,12.651114745196622,11.919945400968231,9.426626916559115,17.643827989463727,27.904760868388223,1.3714148006652649,安徽,3,72.8441149399336,94.34819696111131,87.29422768540583,177.61860140371442,132.91425160037565,97.94511558620908
2018-04-01,13.369866824294542,12.261522985648774,10.095730461035693,18.80249928864325,31.147949395525472,1.345528494023991,安徽,4,76.83342864888981,98.20540243087153,92.81257329483627,188.82091655722255,142.77136700437978,101.38148867635599
2018-05-01,11.95083582022723,10.741584953245528,8.469974424459146,16.41077385248708,28.31709213020819,1.176751271839198,安徽,5,70.57821097540979,88.53650636023764,80.45602862311837,171.38270844144486,135.0059053826491,88.98138620025306
2018-06-01,12.443153093489482,11.513525632980118,9.375456897806483,17.738267654483774,28.55179658516148,1.2384358736458716,安徽,6,75.4256171591986,96.37153447648615,88.89501090310678,185.99296308952535,139.91610362009106,97.09307798830736
2018-07-01,12.401944405143915,11.137675811181616,9.320295843795048,17.113459124579975,28.222398790251404,1.209293621098208,安徽,7,75.9293206944002,95.57457531896308,90.68294472328684,179.48670419764716,140.7016747555656,93.61911290320141
2018-08-01,12.090508901498634,10.534938826882124,8.857086044247396,16.4169531858295,27.521040228436785,1.3266276630246023,安徽,8,75.72746034233228,92.93881897748278,88.27423420324546,177.9322947496598,140.74171591196526,107.86906280864896
2018-09-01,12.093509363369389,10.85635004246039,8.746331794350954,17.095658572531168,28.74817053824602,1.1616878395020394,安徽,9,72.54112416111906,90.21939534725625,83.50016240630686,176.05901333398091,140.44762887286623,89.0374547085309
2018-10-01,12.921707544248164,11.910738196453304,9.751112568559329,18.68482004706946,28.662135036121143,1.3698613773135249,安徽,10,73.67657709230078,93.72953034822949,88.3795790571714,183.4216880377148,134.69041006188314,101.68642907759029
2018-11-01,13.03268348560481,11.84420115488998,9.979421806991386,18.517773998390545,29.04168719419138,1.343947681071095,安徽,11,73.33136511843693,92.85254811242817,89.09353038407095,180.5278865716456,135.3514787422701,98.68218351763616
2018-12-01,13.237888760805644,12.050557317531046,9.378772584413223,18.64047279089785,31.356083047300736,1.933321209974172,安徽,12,72.81016405765406,90.53068858213231,80.4905724948448,178.4999963054939,141.38481319634465,125.4603888690501
2019-01-01,12.359921176067242,11.220655459692342,9.290750325110432,13.459428316342509,15.02943737473573,1.3419872291774178,安徽,1,70.01455301112158,87.0606896725585,85.5028620888244,126.04238932804925,72.9191464188967,91.66622203988905
2019-02-01,10.984474676453551,10.468561976101707,8.75201825551124,12.205121890780498,13.09944099584322,1.721862216365715,安徽,2,63.87360837477185,82.66171106394718,81.15509414805668,125.64917868932635,65.35307633619708,116.37609472515602
2019-03-01,13.522712560505909,12.176730160669488,10.11891753114196,15.037484585277236,17.256168158886695,1.3653665573738547,安徽,3,77.8627060062972,96.38068773769974,93.7051077455582,151.3808104602837,82.19352558318965,97.5131559136262
2019-04-01,13.444795868837064,11.860053760172386,10.226125293235269,14.692133313798994,17.015684852644014,1.520432844335827,安徽,4,77.26402795651538,94.98994160290873,94.01132557606047,147.54326198368966,77.99398143611633,114.56000068062771
2019-05-01,13.412933525035797,11.820550658484157,10.297383185937258,14.77645029210811,16.78631453912056,1.39660014350564,安徽,5,79.21294094985934,97.42977997303672,97.81452869072734,154.3149698469627,80.03122573360203,105.60550875154335
2019-06-01,13.627658713846603,11.922420499015232,10.720068203118023,14.88694551865275,17.468490132532775,1.4270440929143429,安徽,6,82.60563550123128,99.79410258772432,101.64417480508958,156.09568884065507,85.60312722108064,111.87991752708666
2019-07-01,13.075794651909728,11.438577557677831,10.471404276776171,14.093543505504892,16.153139976574018,1.391882408178875,安徽,7,80.05488276880045,98.15667207969283,101.88279332766683,147.81369773665284,80.53085296385595,107.75447256634094
2019-08-01,12.909480858049282,11.06828922908104,10.056272840519089,13.857561831928168,15.645327301740332,1.215010590958013,安徽,8,80.85699350478535,97.64401540017553,100.2259410714745,150.1927762405137,80.00970138389003,98.79339727502202
2019-09-01,13.84711079588774,11.999216340334664,10.457397514229852,15.079147169350517,16.886642946113042,1.416672671604228,安徽,9,83.05984254328999,99.71694341393655,99.8354980483907,155.29204454395423,82.49877877442808,108.58074307538921
2019-10-01,14.22067806969253,12.369870128240755,10.318070471093964,15.264778287283349,16.77331507210252,1.392451445457932,安徽,10,81.08300551755397,97.34259106911138,93.51822353664448,149.8484541955279,78.8219259420666,103.36331653515852
2019-11-01,14.998486592675103,12.735199225892508,10.937934653201992,15.665508545309471,17.78408735560324,1.37712479234657,安徽,11,84.39240450873253,99.8375224618115,97.65086917974739,152.72144211288955,82.88438979344322,101.11828265273206
2019-12-01,14.868371803619404,13.078291425823958,11.2959035829239,16.05784582530425,17.808934956062213,1.4335640563654957,安徽,12,81.77803952371652,98.25161584312671,96.94378854511886,153.76892274377434,80.30062103708649,93.02929231439545
2020-01-01,17.736248540782405,12.596988706587274,11.403288715876997,3.4408575437611315,14.811734419379116,1.6986542103252684,安徽,1,100.4695334207754,97.73961320999237,104.94457264635288,32.222312564828805,71.86290503861984,116.02883442349277
2020-02-01,18.291720887679205,13.16882742098364,12.16275639543803,2.790727491739008,16.089950714040093,1.3969556113692596,安徽,2,106.36450544009739,103.98350889160923,112.78194486741198,28.72995619548921,80.272721377499,94.41652009687729
2020-03-01,17.77503748228608,12.654366333831003,11.65074941070311,2.619522413141516,15.644462584243383,1.3053599550123194,安徽,3,102.34725551856114,100.16125134141673,107.89046609842534,26.3704626708969,74.51674808761378,93.22754254458192
2020-04-01,18.502519996648225,13.254422334765463,12.04824383775659,2.60800753741346,16.46088669871373,1.1773920065449726,安徽,4,106.32955949896974,106.1577653035327,110.76251674721584,26.19047425785534,75.4509796531639,88.7129145977364
2020-05-01,17.513687529386722,12.626335115405814,11.51597142105092,2.9270294064306737,14.986413662834464,1.561310554556056,安徽,5,103.4308187310498,104.07138277241405,109.3898611546575,30.567859375249324,71.44993333660472,118.0602738727849
2020-06-01,16.30718922941277,11.867375715040156,10.639295265393905,2.3471000716139865,14.12750079525926,1.1484751727632152,安徽,6,98.84792082192136,99.33336184976919,100.87831227082297,24.61030048088013,69.23084014228712,90.04018043215972
2020-07-01,15.497286947281184,11.3370943941928,9.728130429355158,2.626708344812476,13.679172712294651,1.2535624921567383,安徽,7,94.88016008402681,97.28582519776354,94.65102060826143,27.54903145336022,68.19698510373664,97.04624785654889
2020-08-01,17.441651777906987,12.54397779984528,11.18722469102342,2.501141609020182,15.158227328520042,1.1382891908211377,安徽,8,109.24370546160421,110.66248235087428,111.49758368906592,27.10818876982326,77.51868776366867,92.55512427590199
2020-09-01,17.957140833046925,12.856845873720738,11.393885091800072,2.6837772659322057,15.560515594740034,1.2505675012020754,安徽,9,107.71324878569655,106.84409182306298,108.77603068049457,27.638781825427778,76.02005548189689,95.84962798265134
2020-10-01,18.73344216690045,13.50742605634089,12.149994140818432,2.666680648332287,15.94741967690094,1.2524384459168445,安徽,10,106.81373891859782,106.29439415025199,110.12193328327882,26.177777722367246,74.94084069465805,92.9699860978139
