2018-09-12,24,121
2018-09-13,24,137
2018-09-14,24,133
2018-09-15,12,69
2018-09-16,12,57
2018-09-17,24,120
2018-09-18,24,132
2018-09-19,24,107
2018-09-20,24,95
2018-09-21,24,98
2018-09-22,8,51
2018-09-23,8,41
2018-09-24,8,31
2018-09-25,24,107
2018-09-26,24,130
2018-09-27,24,101
2018-09-28,24,105
2018-09-29,12,61
2018-09-30,12,62
2018-10-01,8,39
2018-10-02,8,31
2018-10-03,8,35
2018-10-04,8,39
2018-10-05,8,34
2018-10-06,8,40
2018-10-07,8,41
2018-10-08,24,120
2018-10-09,24,128
2018-10-10,24,125
2018-10-11,24,124
2018-10-12,24,130
2018-10-13,12,67
2018-10-14,12,65
2018-10-15,24,121
2018-10-16,24,127
2018-10-17,24,107
2018-10-18,24,121
2018-10-19,24,104
2018-10-20,12,70
2018-10-21,12,57
2018-10-22,24,114
2018-10-23,24,128
2018-10-24,24,114
2018-10-25,24,127
2018-10-26,24,127
2018-10-27,12,72
2018-10-28,12,57
2018-10-29,24,116
2018-10-30,24,115
2018-10-31,24,91
2018-11-01,24,125
2018-11-02,24,120
2018-11-03,12,60
2018-11-04,12,54
2018-11-05,24,108
2018-11-06,24,95
2018-11-07,24,111
2018-11-08,24,100
2018-11-09,24,111
2018-11-10,12,67
2018-11-11,12,59
2018-11-12,24,124
2018-11-13,24,131
2018-11-14,24,121
2018-11-15,24,112
2018-11-16,24,107
2018-11-17,12,63
2018-11-18,12,58
2018-11-19,24,116
2018-11-20,24,121
2018-11-21,24,114
2018-11-22,24,125
2018-11-23,24,126
2018-11-24,12,57
2018-11-25,12,61
2018-11-26,24,105
2018-11-27,24,130
2018-11-28,24,123
2018-11-29,24,116
2018-11-30,24,129
2018-12-01,12,58
2018-12-02,12,61
2018-12-03,24,120
2018-12-04,24,114
2018-12-05,24,120
2018-12-06,24,104
2018-12-07,24,128
2018-12-08,12,70
2018-12-09,12,57
2018-12-10,24,108
2018-12-11,24,121
